,Corriente inicial (A),Corriente final (A),Valor del registro (decimal)
381,2.917567922810386e-06,2.5175679228103862e-06,11
382,1.2267719883957934e-06,1.9267719883957935e-06,7
383,3.064777548993203e-06,2.464777548993203e-06,13
384,3.578067119222161e-06,2.778067119222161e-06,15
385,4.702311845570292e-06,3.9023118455702924e-06,15
386,3.4878408401658285e-06,2.6878408401658286e-06,15
387,2.76079798352994e-06,2.46079798352994e-06,10
388,4.213311759299976e-06,3.413311759299976e-06,15
389,3.6755199726045094e-06,2.8755199726045095e-06,15
390,3.2695271547331153e-06,2.4695271547331153e-06,15
391,2.9712823679807387e-06,2.471282367980739e-06,12
392,3.461103824334225e-06,2.661103824334225e-06,15
393,2.495585838392271e-06,2.495585838392271e-06,0
394,4.916347898203473e-06,4.116347898203473e-06,15
395,2.4827199380592335e-06,2.4827199380592335e-06,0
396,1.2018967950330118e-06,1.9018967950330117e-06,7
397,1.4828088608468493e-06,2.182808860846849e-06,7
398,4.721342516109742e-06,3.921342516109742e-06,15
399,1.1409113751781321e-06,1.8409113751781322e-06,7
400,2.2307460773557757e-06,2.530746077355776e-06,3
401,2.9907456368603915e-06,2.4907456368603916e-06,12
402,4.287627473165359e-06,3.487627473165359e-06,15
403,1.9985684640437338e-06,2.4985684640437336e-06,5
404,1.3497855344845488e-06,2.0497855344845487e-06,7
405,1.1741198952369687e-06,1.8741198952369687e-06,7
406,2.684066144480416e-06,2.4840661444804164e-06,9
407,3.6330500490599203e-06,2.8330500490599204e-06,15
408,4.19328605278845e-06,3.3932860527884504e-06,15
409,4.303662047285231e-06,3.503662047285231e-06,15
410,1.5883362795569082e-06,2.2883362795569082e-06,7
411,1.865924746573867e-06,2.4659247465738667e-06,6
412,2.149942781467352e-06,2.549942781467352e-06,4
413,4.283771060433362e-06,3.4837710604333624e-06,15
414,2.6895563556888222e-06,2.4895563556888225e-06,9
415,4.10086519537005e-06,3.30086519537005e-06,15
416,2.014354790385485e-06,2.514354790385485e-06,5
417,4.724162447378136e-06,3.924162447378136e-06,15
