Corriente inicial (A),Corriente final (A),Valor del registro 1,Valor del registro 2
3.165869690111276e-06,2.4658696901112768e-06,14,-1
1.04707969167855e-06,2.4470796916785487e-06,7,7
2.7414677243721144e-06,2.5414677243721147e-06,9,-1
1.1345919880788573e-06,2.534591988078856e-06,7,7
1.7960454133692447e-06,2.496045413369244e-06,7,0
3.0875722871034666e-06,2.4875722871034673e-06,13,-1
2.344771434798289e-06,2.544771434798289e-06,2,-1
1.848810678604139e-06,2.5488106786041382e-06,7,0
4.0147463311933746e-06,2.5147463311933762e-06,15,14
1.4578850470345036e-06,2.4578850470345025e-06,7,3
1.0162506768703792e-06,2.416250676870378e-06,7,7
1.6917033663517312e-06,2.4917033663517304e-06,7,1
3.659261983887143e-06,2.4592619838871444e-06,15,11
3.7332505104651995e-06,2.533250510465201e-06,15,11
2.8504661971797685e-06,2.450466197179769e-06,11,-1
2.291179684809061e-06,2.491179684809061e-06,2,-1
2.8992931899108858e-06,2.4992931899108862e-06,11,-1
2.5530613527107586e-06,2.4530613527107587e-06,8,-1
3.5633824995708254e-06,2.4633824995708267e-06,15,10
2.0128812362596537e-06,2.512881236259653e-06,5,-1
4.9830998641109835e-06,3.3830998641109852e-06,15,15
4.318106555766623e-06,2.7181065557666246e-06,15,15
1.9199631659647882e-06,2.5199631659647876e-06,6,-1
1.1321534911705174e-06,2.532153491170516e-06,7,7
4.993507460535537e-06,3.3935074605355384e-06,15,15
4.217559787575668e-06,2.61755978757567e-06,15,15
2.511805681313829e-06,2.511805681313829e-06,0,0
4.322683134254631e-06,2.7226831342546327e-06,15,15
2.0523472496380585e-06,2.452347249638058e-06,4,-1
3.906308803561082e-06,2.506308803561084e-06,15,13
1.6207855224410795e-06,2.5207855224410787e-06,7,2
4.612995918858517e-06,3.012995918858519e-06,15,15
2.979050269780889e-06,2.4790502697808894e-06,12,-1
4.277669529069231e-06,2.6776695290692328e-06,15,15
3.521481507201898e-06,2.521481507201899e-06,15,9
4.95181186768142e-06,3.3518118676814217e-06,15,15
2.8725846167125126e-06,2.472584616712513e-06,11,-1
2.7082755658675614e-06,2.5082755658675616e-06,9,-1
4.670824146848941e-06,3.0708241468489426e-06,15,15
3.0194709330351984e-06,2.519470933035199e-06,12,-1
3.6517684616738174e-06,2.4517684616738188e-06,15,11
4.187794081054666e-06,2.5877940810546676e-06,15,15
2.3233938514734426e-06,2.5233938514734424e-06,2,-1
1.4833344808382126e-06,2.4833344808382117e-06,7,3
3.1310190217783738e-06,2.5310190217783744e-06,13,-1
4.811982610935285e-06,3.211982610935287e-06,15,15
4.469419034788606e-06,2.8694190347886074e-06,15,15
4.2514865845994074e-06,2.651486584599409e-06,15,15
1.5891536313371733e-06,2.4891536313371723e-06,7,2
4.904714471066507e-06,3.3047144710665086e-06,15,15
1.24596005414238e-06,2.5459600541423786e-06,7,6
4.7930535413937905e-06,3.1930535413937923e-06,15,15
1.7271443253725777e-06,2.527144325372577e-06,7,1
4.661815225720035e-06,3.061815225720037e-06,15,15
2.8627959325340335e-06,2.462795932534034e-06,11,-1
1.659351840003914e-06,2.459351840003913e-06,7,1
4.12538753982812e-06,2.5253875398281215e-06,15,15
4.109426570802256e-06,2.5094265708022576e-06,15,15
4.186603871839882e-06,2.586603871839884e-06,15,15
3.083793628087636e-06,2.4837936280876366e-06,13,-1
2.9893656837592133e-06,2.489365683759214e-06,12,-1
2.6844996245604e-06,2.4844996245604004e-06,9,-1
2.932441585944039e-06,2.5324415859440395e-06,11,-1
2.386479826445708e-06,2.486479826445708e-06,1,-1
4.423757554060872e-06,2.8237575540608737e-06,15,15
3.0792953062742252e-06,2.479295306274226e-06,13,-1
1.7207696739406063e-06,2.5207696739406056e-06,7,1
3.684021908163458e-06,2.4840219081634593e-06,15,11
2.4676831142190915e-06,2.4676831142190915e-06,0,0
2.3539041029946914e-06,2.4539041029946913e-06,1,-1
4.62210984503834e-06,3.022109845038342e-06,15,15
3.062163263729261e-06,2.4621632637292616e-06,13,-1
1.415040813756225e-06,2.515040813756224e-06,7,4
2.4593337395652437e-06,2.4593337395652437e-06,0,0
2.9252629848815675e-06,2.525262984881568e-06,11,-1
2.5758923781520656e-06,2.4758923781520657e-06,8,-1
1.1370488206172612e-06,2.5370488206172597e-06,7,7
1.450798452634769e-06,2.450798452634768e-06,7,3
3.1244765075407025e-06,2.524476507540703e-06,13,-1
1.529689860705354e-06,2.529689860705353e-06,7,3
2.9542491351992082e-06,2.454249135199209e-06,12,-1
4.188206285808505e-06,2.5882062858085064e-06,15,15
1.8393746929558494e-06,2.5393746929558486e-06,7,0
1.1023159013775831e-06,2.5023159013775816e-06,7,7
1.0811631118317248e-06,2.4811631118317234e-06,7,7
2.8504069923129133e-06,2.4504069923129137e-06,11,-1
3.4177488180539502e-06,2.5177488180539512e-06,15,8
4.831544430716785e-06,3.231544430716787e-06,15,15
3.8036362698809596e-06,2.503636269880961e-06,15,12
2.5469340577507917e-06,2.5469340577507917e-06,0,0
4.834343482413535e-06,3.2343434824135364e-06,15,15
4.292350948982921e-06,2.6923509489829226e-06,15,15
4.042620380232153e-06,2.5426203802321546e-06,15,14
2.6636502652054562e-06,2.4636502652054564e-06,9,-1
1.3370717895016071e-06,2.537071789501606e-06,7,5
1.4519554695840516e-06,2.4519554695840505e-06,7,3
3.7037219306752516e-06,2.503721930675253e-06,15,11
2.2187528959523307e-06,2.5187528959523304e-06,3,-1
2.7725935924138658e-06,2.472593592413866e-06,10,-1
1.9980430348563963e-06,2.4980430348563957e-06,5,-1
4.822721081397325e-06,3.2227210813973264e-06,15,15
4.191583044039867e-06,2.5915830440398688e-06,15,15
4.678561475550337e-06,3.078561475550339e-06,15,15
2.8444953739244734e-06,2.5444953739244738e-06,10,-1
1.3158933597687795e-06,2.515893359768778e-06,7,5
2.071771689610927e-06,2.4717716896109266e-06,4,-1
4.993497749560847e-06,3.3934977495608484e-06,15,15
2.2880693044648396e-06,2.4880693044648394e-06,2,-1
1.1880060934804848e-06,2.4880060934804834e-06,7,6
4.753264401870086e-06,3.1532644018700874e-06,15,15
4.0111059948856195e-06,2.511105994885621e-06,15,14
1.497610882630989e-06,2.497610882630988e-06,7,3
1.3452077237956282e-06,2.545207723795627e-06,7,5
1.4471855811765284e-06,2.5471855811765272e-06,7,4
4.345895170209765e-06,2.745895170209767e-06,15,15
2.20632435606165e-06,2.5063243560616495e-06,3,-1
1.1664440664407567e-06,2.4664440664407555e-06,7,6
1.9795901834920916e-06,2.479590183492091e-06,5,-1
3.135753284094755e-06,2.5357532840947558e-06,13,-1
1.4643503195629747e-06,2.4643503195629736e-06,7,3
1.7964249298925385e-06,2.4964249298925377e-06,7,0
1.9935843832669696e-06,2.493584383266969e-06,5,-1
4.573551198669182e-06,2.973551198669184e-06,15,15
4.553028775684472e-06,2.953028775684474e-06,15,15
1.0587737346896059e-06,2.4587737346896045e-06,7,7
2.6830377128690507e-06,2.483037712869051e-06,9,-1
4.8023598895023046e-06,3.2023598895023063e-06,15,15
2.3900255477484404e-06,2.4900255477484403e-06,1,-1
1.4472379235209298e-06,2.5472379235209286e-06,7,4
4.259907331104119e-06,2.659907331104121e-06,15,15
2.2845001429218287e-06,2.4845001429218285e-06,2,-1
4.238428790542261e-06,2.6384287905422625e-06,15,15
2.7454337489277683e-06,2.5454337489277686e-06,9,-1
2.4277372704412177e-06,2.5277372704412176e-06,1,-1
3.6935770228725417e-06,2.493577022872543e-06,15,11
1.3791207412642055e-06,2.4791207412642043e-06,7,4
3.147532544634306e-06,2.5475325446343066e-06,13,-1
4.183745488301645e-06,2.5837454883016464e-06,15,15
2.8983223975698233e-06,2.4983223975698237e-06,11,-1
1.7598515708954707e-06,2.45985157089547e-06,7,0
1.8632898418034763e-06,2.4632898418034756e-06,6,-1
3.5819471789796412e-06,2.4819471789796425e-06,15,10
3.5735993584692075e-06,2.4735993584692087e-06,15,10
4.661416498257662e-06,3.0614164982576636e-06,15,15
1.7992635006517063e-06,2.4992635006517056e-06,7,0
3.1344626443634998e-06,2.5344626443635004e-06,13,-1
2.2503642729438095e-06,2.4503642729438093e-06,2,-1
2.8115581616696207e-06,2.511558161669621e-06,10,-1
2.438149594920054e-06,2.538149594920054e-06,1,-1
3.408906071003328e-06,2.508906071003329e-06,15,8
2.3564033108871234e-06,2.4564033108871233e-06,1,-1
3.1733994739027585e-06,2.4733994739027592e-06,14,-1
1.853817431941875e-06,2.4538174319418743e-06,6,-1
3.5322844513215596e-06,2.5322844513215607e-06,15,9
3.1044730871955308e-06,2.5044730871955314e-06,13,-1
1.7062215582721372e-06,2.5062215582721363e-06,7,1
2.617504246491803e-06,2.517504246491803e-06,8,-1
4.912686944775305e-06,3.3126869447753068e-06,15,15
2.432912135627977e-06,2.532912135627977e-06,1,-1
3.921877544138823e-06,2.5218775441388247e-06,15,13
2.6050864356115873e-06,2.5050864356115874e-06,8,-1
2.0155264526369123e-06,2.5155264526369117e-06,5,-1
4.056536317526722e-06,2.4565363175267237e-06,15,15
2.828055602559129e-06,2.5280556025591295e-06,10,-1
3.6487693716991415e-06,2.5487693716991427e-06,15,10
1.9792224990758683e-06,2.479222499075868e-06,5,-1
2.551313402628425e-06,2.451313402628425e-06,8,-1
2.9070245982821466e-06,2.507024598282147e-06,11,-1
1.8704030870675265e-06,2.470403087067526e-06,6,-1
2.1257388017334004e-06,2.5257388017334e-06,4,-1
1.1111378687851627e-06,2.511137868785161e-06,7,7
3.1188214794592547e-06,2.5188214794592554e-06,13,-1
2.0782691632529466e-06,2.478269163252946e-06,4,-1
4.2220811418869255e-06,2.6220811418869273e-06,15,15
2.8363196413696645e-06,2.536319641369665e-06,10,-1
1.9190309613217935e-06,2.519030961321793e-06,6,-1
1.2267061340254096e-06,2.5267061340254083e-06,7,6
3.3864588649163198e-06,2.4864588649163208e-06,15,8
3.4594510670158845e-06,2.4594510670158856e-06,15,9
2.8565957805980555e-06,2.456595780598056e-06,11,-1
2.1206086964345413e-06,2.520608696434541e-06,4,-1
4.644470186053806e-06,3.044470186053808e-06,15,15
1.6053093002916338e-06,2.505309300291633e-06,7,2
2.0664817709955163e-06,2.466481770995516e-06,4,-1
2.9917619572920466e-06,2.491761957292047e-06,12,-1
1.2995378529855714e-06,2.4995378529855703e-06,7,5
4.5365126943935326e-06,2.9365126943935343e-06,15,15
3.169745962882002e-06,2.4697459628820026e-06,14,-1
4.782798469168961e-06,3.1827984691689624e-06,15,15
3.1616088080067688e-06,2.4616088080067695e-06,14,-1
2.6298166946235183e-06,2.5298166946235184e-06,8,-1
4.979843081431335e-06,3.3798430814313364e-06,15,15
3.1779495613992704e-06,2.477949561399271e-06,14,-1
1.1320296837457148e-06,2.5320296837457133e-06,7,7
2.596230315453536e-06,2.496230315453536e-06,8,-1
2.154930018584578e-06,2.4549300185845775e-06,3,-1
4.580912027176354e-06,2.980912027176356e-06,15,15
4.76034934409601e-06,3.1603493440960115e-06,15,15
2.611982975624088e-06,2.511982975624088e-06,8,-1
1.2678732545531237e-06,2.4678732545531226e-06,7,5
3.6648261441303965e-06,2.464826144130398e-06,15,11
3.0418480891835797e-06,2.5418480891835802e-06,12,-1
1.781277435744792e-06,2.4812774357447913e-06,7,0
3.861356092829749e-06,2.4613560928297503e-06,15,13
4.536110256557624e-06,2.936110256557626e-06,15,15
2.750848303806111e-06,2.4508483038061114e-06,10,-1
3.283445186329196e-06,2.483445186329197e-06,15,7
1.5509474998622195e-06,2.4509474998622187e-06,7,2
1.556340295321141e-06,2.45634029532114e-06,7,2
3.251922743769998e-06,2.451922743769999e-06,15,7
1.255742770959841e-06,2.45574277095984e-06,7,5
4.886925724859857e-06,3.286925724859859e-06,15,15
1.754759395322353e-06,2.4547593953223523e-06,7,0
3.432280543705452e-06,2.532280543705453e-06,15,8
3.2897961668519577e-06,2.4897961668519586e-06,15,7
4.028840192611729e-06,2.528840192611731e-06,15,14
1.7537367761690384e-06,2.4537367761690376e-06,7,0
2.775649244595368e-06,2.4756492445953684e-06,10,-1
4.852936087925042e-06,3.2529360879250438e-06,15,15
2.889620271500705e-06,2.4896202715007055e-06,11,-1
1.2490491024953453e-06,2.549049102495344e-06,7,6
1.6659600204957032e-06,2.4659600204957023e-06,7,1
4.269794611305842e-06,2.6697946113058436e-06,15,15
3.615235330336415e-06,2.515235330336416e-06,15,10
4.246920108789705e-06,2.646920108789707e-06,15,15
3.4323030701719854e-06,2.5323030701719864e-06,15,8
4.393595487397106e-06,2.7935954873971077e-06,15,15
1.182889973174637e-06,2.4828899731746357e-06,7,6
3.895636570348208e-06,2.49563657034821e-06,15,13
3.1880467162000983e-06,2.488046716200099e-06,14,-1
2.66878431608038e-06,2.4687843160803803e-06,9,-1
1.8795776490044773e-06,2.4795776490044766e-06,6,-1
2.7387593862891383e-06,2.5387593862891385e-06,9,-1
4.129498319830015e-06,2.5294983198300165e-06,15,15
2.570663758433879e-06,2.470663758433879e-06,8,-1
3.3775635508684804e-06,2.4775635508684814e-06,15,8
3.2786643517945656e-06,2.4786643517945665e-06,15,7
2.540599098121389e-06,2.540599098121389e-06,0,0
2.450633737108507e-06,2.450633737108507e-06,0,0
3.698134300713928e-06,2.4981343007139295e-06,15,11
2.4895197077431605e-06,2.4895197077431605e-06,0,0
3.0468180825804e-06,2.5468180825804006e-06,12,-1
2.027774395363193e-06,2.5277743953631926e-06,5,-1
2.0546601792906006e-06,2.4546601792906e-06,4,-1
3.904626408961162e-06,2.5046264089611636e-06,15,13
3.330834076212181e-06,2.5308340762121817e-06,15,7
3.268335510433463e-06,2.468335510433464e-06,15,7
2.801758274708555e-06,2.5017582747085553e-06,10,-1
2.655953523913323e-06,2.4559535239133234e-06,9,-1
3.9793040379569375e-06,2.479304037956939e-06,15,14
2.232966441224818e-06,2.5329664412248176e-06,3,-1
3.5031021928317456e-06,2.5031021928317467e-06,15,9
2.2203944465921636e-06,2.5203944465921633e-06,3,-1
1.666898287868976e-06,2.466898287868975e-06,7,1
4.688086231294637e-06,3.0880862312946386e-06,15,15
2.266546982906087e-06,2.466546982906087e-06,2,-1
4.700477711810446e-06,3.1004777118104474e-06,15,15
4.81679666957917e-06,3.2167966695791714e-06,15,15
1.7752954418716605e-06,2.4752954418716597e-06,7,0
2.24306702528007e-06,2.5430670252800697e-06,3,-1
4.255545168814161e-06,2.6555451688141627e-06,15,15
2.5215660227189746e-06,2.5215660227189746e-06,0,0
3.611296963930779e-06,2.51129696393078e-06,15,10
2.3367103570790267e-06,2.5367103570790265e-06,2,-1
3.852384556135802e-06,2.452384556135804e-06,15,13
1.1134132166872246e-06,2.5134132166872233e-06,7,7
4.312509046176165e-06,2.7125090461761666e-06,15,15
1.293840959727138e-06,2.493840959727137e-06,7,5
2.1679142395065783e-06,2.467914239506578e-06,3,-1
4.159827105833267e-06,2.5598271058332687e-06,15,15
3.057323272752416e-06,2.4573232727524167e-06,13,-1
4.966886767069659e-06,3.3668867670696607e-06,15,15
2.7638863528718688e-06,2.463886352871869e-06,10,-1
3.1250478066168786e-06,2.5250478066168792e-06,13,-1
4.8404882813302385e-06,3.2404882813302402e-06,15,15
3.171963368105257e-06,2.4719633681052577e-06,14,-1
4.436557648769282e-06,2.8365576487692836e-06,15,15
2.0739708542043987e-06,2.4739708542043983e-06,4,-1
1.2372034780478223e-06,2.537203478047821e-06,7,6
3.2763376680289704e-06,2.4763376680289712e-06,15,7
4.795879714028843e-06,3.195879714028845e-06,15,15
1.4152378479597351e-06,2.515237847959734e-06,7,4
2.503910352316982e-06,2.503910352316982e-06,0,0
2.827094696485575e-06,2.5270946964855753e-06,10,-1
3.4564206262578196e-06,2.4564206262578207e-06,15,9
1.490583578439606e-06,2.490583578439605e-06,7,3
1.5088531503660768e-06,2.5088531503660757e-06,7,3
3.2134378791159515e-06,2.5134378791159523e-06,14,-1
2.5151246063412378e-06,2.5151246063412378e-06,0,0
3.3095534481116162e-06,2.509553448111617e-06,15,7
2.2568852991175873e-06,2.456885299117587e-06,2,-1
4.865814142768555e-06,3.265814142768557e-06,15,15
4.634202739277448e-06,3.0342027392774494e-06,15,15
3.1334821128103794e-06,2.53348211281038e-06,13,-1
1.5947237577081956e-06,2.4947237577081946e-06,7,2
1.1045406905493737e-06,2.5045406905493724e-06,7,7
1.2987504088389934e-06,2.4987504088389923e-06,7,5
3.591559066261137e-06,2.491559066261138e-06,15,10
3.407159465650014e-06,2.507159465650015e-06,15,8
1.316650645001054e-06,2.516650645001053e-06,7,5
3.916990176439394e-06,2.5169901764393955e-06,15,13
2.0993587842548122e-06,2.499358784254812e-06,4,-1
3.152573183968362e-06,2.4525731839683626e-06,14,-1
1.665759386424076e-06,2.465759386424075e-06,7,1
4.0957914024943e-06,2.495791402494302e-06,15,15
3.2717003423698088e-06,2.4717003423698097e-06,15,7
3.0090919801650993e-06,2.5090919801651e-06,12,-1
1.584353756719088e-06,2.484353756719087e-06,7,2
3.7969294959408706e-06,2.496929495940872e-06,15,12
4.158562653630815e-06,2.558562653630817e-06,15,15
3.93032885225854e-06,2.5303288522585418e-06,15,13
2.7372448216250524e-06,2.5372448216250526e-06,9,-1
2.553110967933598e-06,2.453110967933598e-06,8,-1
3.1880561148470997e-06,2.4880561148471005e-06,14,-1
3.040103804948774e-06,2.5401038049487746e-06,12,-1
1.5487293266319787e-06,2.5487293266319778e-06,7,3
2.5428907493153246e-06,2.5428907493153246e-06,0,0
1.361918245252113e-06,2.461918245252112e-06,7,4
1.3095355724188895e-06,2.5095355724188884e-06,7,5
1.7677610913132186e-06,2.467761091313218e-06,7,0
4.866653704870684e-06,3.2666537048706857e-06,15,15
1.4919597052647348e-06,2.4919597052647337e-06,7,3
1.0244455967008345e-06,2.424445596700833e-06,7,7
4.888501396708418e-06,3.2885013967084197e-06,15,15
1.260546729027945e-06,2.4605467290279436e-06,7,5
1.33568846363718e-06,2.5356884636371787e-06,7,5
3.9553755035384724e-06,2.455375503538474e-06,15,14
3.2762159655587286e-06,2.4762159655587295e-06,15,7
2.3891475528617208e-06,2.4891475528617206e-06,1,-1
1.906246379555551e-06,2.5062463795555503e-06,6,-1
4.466129203419549e-06,2.8661292034195504e-06,15,15
1.4724140681599449e-06,2.472414068159944e-06,7,3
3.6099364381085314e-06,2.5099364381085326e-06,15,10
1.9959956698301676e-06,2.495995669830167e-06,5,-1
1.885836739830971e-06,2.4858367398309706e-06,6,-1
1.2422186628812616e-06,2.5422186628812604e-06,7,6
3.932616158967313e-06,2.5326161589673147e-06,15,13
4.556203357537628e-06,2.9562033575376296e-06,15,15
1.8794415938626952e-06,2.4794415938626945e-06,6,-1
1.2169209464970573e-06,2.516920946497056e-06,7,6
2.308019576610208e-06,2.508019576610208e-06,2,-1
2.9888534427402786e-06,2.488853442740279e-06,12,-1
2.007713011138467e-06,2.5077130111384666e-06,5,-1
2.3388255838933713e-06,2.538825583893371e-06,2,-1
2.7814654726583615e-06,2.481465472658362e-06,10,-1
4.3981007838098646e-06,2.7981007838098663e-06,15,15
3.298904820405433e-06,2.498904820405434e-06,15,7
4.405227761184864e-06,2.805227761184866e-06,15,15
3.2914965700756415e-06,2.4914965700756424e-06,15,7
2.649810663711772e-06,2.549810663711772e-06,8,-1
2.208134196596324e-06,2.5081341965963236e-06,3,-1
4.576893239815528e-06,2.97689323981553e-06,15,15
1.3842481817194842e-06,2.484248181719483e-06,7,4
2.8988799694064945e-06,2.498879969406495e-06,11,-1
2.756585815617271e-06,2.4565858156172713e-06,10,-1
4.81490793597524e-06,3.2149079359752416e-06,15,15
2.287104143395959e-06,2.487104143395959e-06,2,-1
2.442691751811351e-06,2.542691751811351e-06,1,-1
4.346663636693469e-06,2.746663636693471e-06,15,15
4.353680595243454e-06,2.7536805952434555e-06,15,15
2.4638496125738792e-06,2.4638496125738792e-06,0,0
2.5876016997658558e-06,2.487601699765856e-06,8,-1
1.6826773425917128e-06,2.482677342591712e-06,7,1
4.1417299150184965e-06,2.5417299150184983e-06,15,15
3.2982561626368716e-06,2.4982561626368725e-06,15,7
2.9908535058346093e-06,2.49085350583461e-06,12,-1
2.9958921817443843e-06,2.495892181744385e-06,12,-1
4.718264795569676e-06,3.1182647955696777e-06,15,15
1.5797066784428193e-06,2.4797066784428183e-06,7,2
3.2259568827398775e-06,2.5259568827398783e-06,14,-1
4.511306214871721e-06,2.9113062148717225e-06,15,15
2.5735178604365985e-06,2.4735178604365986e-06,8,-1
2.5621690825711307e-06,2.462169082571131e-06,8,-1
1.8404332367282189e-06,2.540433236728218e-06,7,0
3.470612684372143e-06,2.4706126843721443e-06,15,9
4.427765569852517e-06,2.8277655698525185e-06,15,15
2.613630333135736e-06,2.513630333135736e-06,8,-1
1.5847324476565468e-06,2.484732447656546e-06,7,2
3.135192482742569e-06,2.5351924827425696e-06,13,-1
2.642809563919121e-06,2.542809563919121e-06,8,-1
4.787676646708532e-06,3.187676646708534e-06,15,15
2.8778670562903057e-06,2.477867056290306e-06,11,-1
4.742671601622586e-06,3.142671601622588e-06,15,15
2.9643039435759758e-06,2.4643039435759763e-06,12,-1
1.9308791024495367e-06,2.530879102449536e-06,6,-1
1.5637506433885151e-06,2.4637506433885143e-06,7,2
2.6074220384795353e-06,2.5074220384795354e-06,8,-1
2.395887441821145e-06,2.495887441821145e-06,1,-1
3.3083269753660795e-06,2.5083269753660803e-06,15,7
1.1889095850664168e-06,2.4889095850664154e-06,7,6
2.943868021912327e-06,2.5438680219123276e-06,11,-1
3.6630458968728174e-06,2.4630458968728188e-06,15,11
3.9403133549991916e-06,2.540313354999193e-06,15,13
3.039951707052378e-06,2.5399517070523785e-06,12,-1
3.4710114278058828e-06,2.471011427805884e-06,15,9
4.468190156768048e-06,2.86819015676805e-06,15,15
3.5108477236760804e-06,2.5108477236760815e-06,15,9
2.4092124062940924e-06,2.5092124062940923e-06,1,-1
2.8119371045592552e-06,2.5119371045592556e-06,10,-1
4.3666478414600524e-06,2.766647841460054e-06,15,15
2.336857508020689e-06,2.5368575080206886e-06,2,-1
2.667431249822858e-06,2.4674312498228582e-06,9,-1
1.3969382038564588e-06,2.496938203856458e-06,7,4
2.196438989066869e-06,2.496438989066869e-06,3,-1
4.89780937098978e-06,3.2978093709897816e-06,15,15
4.944353102606668e-06,3.3443531026066696e-06,15,15
1.0216990200956187e-06,2.421699020095617e-06,7,7
2.9658996085644773e-06,2.465899608564478e-06,12,-1
1.6447608204481963e-06,2.5447608204481956e-06,7,2
2.1927613151541286e-06,2.4927613151541283e-06,3,-1
1.8140840795534294e-06,2.5140840795534286e-06,7,0
3.152048405320474e-06,2.4520484053204746e-06,14,-1
3.7038352301382435e-06,2.503835230138245e-06,15,11
1.9969162571503775e-06,2.496916257150377e-06,5,-1
4.929149585293889e-06,3.3291495852938906e-06,15,15
1.0530700888175291e-06,2.4530700888175276e-06,7,7
4.786569162385125e-06,3.186569162385127e-06,15,15
4.203194160353032e-06,2.603194160353034e-06,15,15
1.4588686900303226e-06,2.4588686900303217e-06,7,3
4.2677001670445566e-06,2.6677001670445583e-06,15,15
1.785329452330576e-06,2.485329452330575e-06,7,0
4.002863382840205e-06,2.5028633828402064e-06,15,14
4.767676576783018e-06,3.16767657678302e-06,15,15
3.075442112631113e-06,2.4754421126311136e-06,13,-1
2.644860642320194e-06,2.5448606423201943e-06,8,-1
1.8710531354705837e-06,2.471053135470583e-06,6,-1
3.354610821480655e-06,2.454610821480656e-06,15,8
3.578323084578829e-06,2.47832308457883e-06,15,10
3.673926306078204e-06,2.4739263060782054e-06,15,11
3.815058319255151e-06,2.5150583192551525e-06,15,12
1.1598633197790257e-06,2.4598633197790242e-06,7,6
1.0493792187437943e-06,2.4493792187437928e-06,7,7
1.233235133115631e-06,2.5332351331156298e-06,7,6
2.872289253996321e-06,2.4722892539963216e-06,11,-1
1.5911072110022666e-06,2.4911072110022656e-06,7,2
1.0536306758054108e-06,2.4536306758054094e-06,7,7
3.866739888287181e-06,2.4667398882871826e-06,15,13
3.6216615912510103e-06,2.5216615912510115e-06,15,10
4.959261404612906e-06,3.3592614046129075e-06,15,15
3.6761134823860173e-06,2.4761134823860186e-06,15,11
1.468789097630373e-06,2.468789097630372e-06,7,3
4.8264646782079375e-06,3.2264646782079393e-06,15,15
1.6130149964830233e-06,2.5130149964830223e-06,7,2
4.484508382646042e-06,2.884508382646044e-06,15,15
4.368621589888517e-06,2.7686215898885184e-06,15,15
3.354068630195467e-06,2.454068630195468e-06,15,8
1.194234305152488e-06,2.4942343051524867e-06,7,6
1.348045411985023e-06,2.548045411985022e-06,7,5
1.5455043466259713e-06,2.5455043466259704e-06,7,3
2.044384178496509e-06,2.5443841784965084e-06,5,-1
2.506323181214674e-06,2.506323181214674e-06,0,0
2.5868751459125214e-06,2.4868751459125215e-06,8,-1
3.6441171796074058e-06,2.544117179607407e-06,15,10
1.2907598165680731e-06,2.490759816568072e-06,7,5
1.2917651925995268e-06,2.4917651925995256e-06,7,5
2.3517035935736222e-06,2.451703593573622e-06,1,-1
3.0856041570777825e-06,2.485604157077783e-06,13,-1
1.6619415483637842e-06,2.4619415483637833e-06,7,1
3.92646428606906e-06,2.5264642860690617e-06,15,13
3.471162994180967e-06,2.471162994180968e-06,15,9
2.2713339164419263e-06,2.471333916441926e-06,2,-1
4.120558891337288e-06,2.5205588913372895e-06,15,15
2.690183842978873e-06,2.490183842978873e-06,9,-1
4.724140202478851e-06,3.1241402024788525e-06,15,15
1.357045730842474e-06,2.457045730842473e-06,7,4
2.9392304204256616e-06,2.539230420425662e-06,11,-1
1.1461082554920905e-06,2.546108255492089e-06,7,7
2.184465584592728e-06,2.4844655845927276e-06,3,-1
4.058488550936811e-06,2.458488550936813e-06,15,15
4.299859448429731e-06,2.6998594484297325e-06,15,15
2.8289522370494835e-06,2.5289522370494838e-06,10,-1
4.376036141485534e-06,2.776036141485536e-06,15,15
4.405038939211238e-06,2.80503893921124e-06,15,15
1.3764175069937408e-06,2.47641750699374e-06,7,4
2.2521552715594723e-06,2.452155271559472e-06,2,-1
4.120969592581791e-06,2.520969592581793e-06,15,15
3.2865830812833155e-06,2.4865830812833164e-06,15,7
4.7048881866877626e-06,3.1048881866877643e-06,15,15
1.238585816549163e-06,2.5385858165491615e-06,7,6
1.8516092739729955e-06,2.451609273972995e-06,6,-1
4.325112385935045e-06,2.725112385935047e-06,15,15
1.1882202771635418e-06,2.4882202771635404e-06,7,6
2.307815671059435e-06,2.5078156710594348e-06,2,-1
4.9796507680824935e-06,3.3796507680824952e-06,15,15
4.036146789984718e-06,2.5361467899847194e-06,15,14
3.0720055392465402e-06,2.472005539246541e-06,13,-1
1.4466438445934862e-06,2.546643844593485e-06,7,4
4.466013052504304e-06,2.866013052504306e-06,15,15
3.105167036276782e-06,2.505167036276783e-06,13,-1
2.913536550648608e-06,2.5135365506486083e-06,11,-1
3.914722589596114e-06,2.514722589596116e-06,15,13
1.0073700091627926e-06,2.4073700091627912e-06,7,7
4.95526153729845e-06,3.3552615372984516e-06,15,15
4.167222449596094e-06,2.5672224495960954e-06,15,15
1.8665662669106941e-06,2.4665662669106935e-06,6,-1
4.8023775652607e-06,3.2023775652607014e-06,15,15
3.0108432130051915e-06,2.510843213005192e-06,12,-1
1.9377570438396786e-06,2.537757043839678e-06,6,-1
4.196978347894071e-06,2.596978347894073e-06,15,15
3.87928348226429e-06,2.4792834822642914e-06,15,13
1.9688203338767745e-06,2.468820333876774e-06,5,-1
3.7492052357402137e-06,2.549205235740215e-06,15,11
1.989375318430851e-06,2.4893753184308504e-06,5,-1
2.346248540935364e-06,2.546248540935364e-06,2,-1
1.3603067326247103e-06,2.460306732624709e-06,7,4
2.7486560864469587e-06,2.548656086446959e-06,9,-1
1.3956966004465202e-06,2.495696600446519e-06,7,4
3.198829007772978e-06,2.498829007772979e-06,14,-1
