Corriente inicial (A),Corriente final (A),Valor del registro 1,Valor del registro 2
4.863676752099776e-06,3.263676752099778e-06,15,15
1.1702628543303075e-06,2.470262854330306e-06,7,6
3.323028659735827e-06,2.523028659735828e-06,15,7
1.8967418993893057e-06,2.496741899389305e-06,6,-1
2.2312270189351094e-06,2.531227018935109e-06,3,-1
2.9779497439177386e-06,2.477949743917739e-06,12,-1
4.711966263510697e-06,3.111966263510699e-06,15,15
2.7805569006272915e-06,2.480556900627292e-06,10,-1
2.904633048917383e-06,2.5046330489173834e-06,11,-1
2.658975997234716e-06,2.4589759972347164e-06,9,-1
1.2832357082362904e-06,2.4832357082362893e-06,7,5
1.2991750274924429e-06,2.4991750274924415e-06,7,5
3.966675742458293e-06,2.4666757424582947e-06,15,14
3.736963809648294e-06,2.5369638096482952e-06,15,11
4.639076951695489e-06,3.0390769516954905e-06,15,15
2.2950133832830627e-06,2.4950133832830625e-06,2,-1
1.2937066192093264e-06,2.493706619209325e-06,7,5
2.1192618942919513e-06,2.519261894291951e-06,4,-1
4.438913780767462e-06,2.838913780767464e-06,15,15
2.803380536580036e-06,2.5033805365800365e-06,10,-1
2.4822265643852284e-06,2.4822265643852284e-06,0,0
4.196461476466908e-06,2.59646147646691e-06,15,15
4.257912581791242e-06,2.657912581791244e-06,15,15
1.5813446473331227e-06,2.4813446473331217e-06,7,2
2.0859644530397823e-06,2.485964453039782e-06,4,-1
3.023761655080991e-06,2.5237616550809914e-06,12,-1
1.5788822105346738e-06,2.4788822105346728e-06,7,2
2.984624679201651e-06,2.4846246792016516e-06,12,-1
3.926124521600844e-06,2.526124521600846e-06,15,13
1.7983548254164005e-06,2.4983548254163997e-06,7,0
4.166103743845864e-06,2.566103743845866e-06,15,15
1.583819202718588e-06,2.483819202718587e-06,7,2
2.58995550792583e-06,2.4899555079258302e-06,8,-1
1.3243626584955378e-06,2.5243626584955365e-06,7,5
1.8146817896842062e-06,2.5146817896842054e-06,7,0
1.3340820846143427e-06,2.5340820846143414e-06,7,5
2.6841784571465856e-06,2.484178457146586e-06,9,-1
4.649373437438998e-06,3.0493734374389995e-06,15,15
3.187206214146533e-06,2.4872062141465337e-06,14,-1
4.040645913239098e-06,2.5406459132390995e-06,15,14
2.4823772404987463e-06,2.4823772404987463e-06,0,0
1.7781489917327243e-06,2.4781489917327237e-06,7,0
2.4255928270508885e-06,2.5255928270508884e-06,1,-1
2.6159122997746655e-06,2.5159122997746656e-06,8,-1
1.5826770204165214e-06,2.4826770204165204e-06,7,2
3.324608530018259e-06,2.52460853001826e-06,15,7
1.5926848255483343e-06,2.4926848255483333e-06,7,2
4.916200480291098e-06,3.3162004802910996e-06,15,15
4.839843720779822e-06,3.2398437207798235e-06,15,15
4.51239739630597e-06,2.9123973963059717e-06,15,15
3.842734932249972e-06,2.5427349322499733e-06,15,12
1.9859278386774327e-06,2.485927838677432e-06,5,-1
1.522080919602681e-06,2.52208091960268e-06,7,3
2.1183321544234717e-06,2.5183321544234712e-06,4,-1
4.737047850815892e-06,3.137047850815894e-06,15,15
4.308682261369256e-06,2.708682261369258e-06,15,15
2.9249865362932337e-06,2.524986536293234e-06,11,-1
1.1222212807494962e-06,2.522221280749495e-06,7,7
1.9637420047139783e-06,2.4637420047139778e-06,5,-1
4.583609500028067e-06,2.983609500028069e-06,15,15
4.2854301257583575e-06,2.6854301257583592e-06,15,15
1.960412120265025e-06,2.4604121202650244e-06,5,-1
3.843929071185138e-06,2.54392907118514e-06,15,12
4.7052514340280566e-06,3.1052514340280583e-06,15,15
3.0597518160309968e-06,2.4597518160309974e-06,13,-1
1.3492059474632665e-06,2.5492059474632654e-06,7,5
3.040074026973918e-06,2.5400740269739185e-06,12,-1
1.2094543954037773e-06,2.509454395403776e-06,7,6
4.84312302702093e-06,3.243123027020932e-06,15,15
4.600232876622618e-06,3.00023287662262e-06,15,15
3.290306957370566e-06,2.490306957370567e-06,15,7
1.178303179513362e-06,2.4783031795133607e-06,7,6
4.760136361403384e-06,3.1601363614033856e-06,15,15
3.34439107382383e-06,2.544391073823831e-06,15,7
3.0791117675740816e-06,2.4791117675740822e-06,13,-1
2.2617407552137805e-06,2.4617407552137803e-06,2,-1
2.649715309017116e-06,2.5497153090171163e-06,8,-1
2.9753306017662883e-06,2.475330601766289e-06,12,-1
2.936475024316569e-06,2.5364750243165695e-06,11,-1
3.678140144752962e-06,2.478140144752963e-06,15,11
3.3028648325457227e-06,2.5028648325457235e-06,15,7
1.2894662970778831e-06,2.489466297077882e-06,7,5
1.773745339569533e-06,2.473745339569532e-06,7,0
1.0060406911206834e-06,2.406040691120682e-06,7,7
4.086363758793323e-06,2.4863637587933248e-06,15,15
3.0692835980268954e-06,2.469283598026896e-06,13,-1
3.330353757532711e-06,2.530353757532712e-06,15,7
4.625484621045849e-06,3.025484621045851e-06,15,15
2.793068886854679e-06,2.4930688868546794e-06,10,-1
4.481902890129958e-06,2.88190289012996e-06,15,15
1.533340666885244e-06,2.533340666885243e-06,7,3
3.4209595216075835e-06,2.5209595216075845e-06,15,8
2.6140070171032552e-06,2.5140070171032554e-06,8,-1
1.2844300299318895e-06,2.484430029931888e-06,7,5
4.2952289678563526e-06,2.6952289678563543e-06,15,15
3.8262949409966986e-06,2.5262949409967e-06,15,12
4.9106132911531165e-06,3.3106132911531183e-06,15,15
4.973470702484582e-06,3.373470702484584e-06,15,15
